SEX,PAY
Men,5002
Men,5014
Women,5032
Men,5042
Men,5116
Men,5149
Men,5150
Men,5166
Men,5166
Men,5166
Men,5176
Men,5193
Men,5199
Men,5200
Men,5200
Women,5200
Women,5200
Men,5281
Women,5300
Women,5337
Men,5400
Women,5447
Women,5448
Women,5500
Men,5500
Men,5500
Women,5500
Men,5500
Men,5500
Men,5500
Women,5500
Women,5500
Women,5500
Women,5500
Women,5500
Men,5500
Women,5500
Men,5500
Men,5550
Men,5583
Women,5583
Men,5600
Women,5611
Women,5615
Women,5655
Men,5666
Men,5685
Women,5750
Men,5750
Women,5750
Women,5800
Women,5800
Women,5834
Women,5850
Women,6000
Men,6000
Women,6000
Men,6000
Men,6000
Men,6000
Men,6000
Women,6000
Women,6000
Men,6000
Women,6000
Women,6000
Women,6000
Men,6000
Men,6000
Women,6000
Men,6000
Women,6000
Men,6000
Men,6000
Women,6000
Women,6000
Women,6000
Women,6000
Men,6000
Women,6000
Women,6000
Men,6000
Men,6000
Women,6000
Women,6000
Men,6000
Women,6000
Men,6014
Men,6073
Women,6100
Men,6154
Women,6166
Women,6200
Men,6250
Men,6300
Women,6300
Men,6383
Men,6492
Men,6497
Men,6500
Women,6500
Men,6500
Women,6500
Men,6500
Women,6600
Men,6666
Men,6666
Men,6667
Women,6700
Women,6700
Women,6700
Men,6700
Men,6700
Men,6791
Men,6800
Women,6900
Women,7000
Women,7000
Women,7000
Men,7000
Men,7000
Men,7000
Men,7000
Women,7000
Men,7000
Women,7000
Women,7000
Men,7000
Women,7000
Women,7000
Women,7000
Women,7000
Men,7000
Women,7000
Women,7000
Women,7000
Men,7000
Women,7000
Women,7018
Women,7100
Men,7150
Women,7200
Women,7200
Women,7200
Women,7200
Men,7200
Women,7250
Men,7300
Men,7320
Women,7440
Men,7500
Women,7500
Women,7500
Women,7500
Women,7500
Women,7500
Men,7500
Men,7500
Men,7500
Women,7500
Women,7500
Women,7500
Women,7500
Women,7500
Men,7500
Women,7550
Men,7700
Men,7800
Men,7800
Women,7859
Women,7900
Men,7966
Women,7992
Women,8000
Men,8000
Women,8000
Men,8000
Women,8000
Men,8000
Men,8000
Women,8000
Women,8000
Men,8000
Women,8000
Men,8000
Men,8000
Women,8000
Men,8000
Men,8000
Women,8000
Men,8000
Women,8000
Women,8000
Men,8000
Women,8000
Women,8000
Men,8000
Women,8000
Men,8000
Men,8000
Women,8000
Men,8000
Women,8000
Men,8000
Men,8000
Women,8000
Men,8000
Men,8000
Women,8000
Women,8000
Women,8000
Women,8000
Men,8000
Women,8000
Men,8060
Women,8166
Men,8200
Women,8200
Women,8300
Women,8333
Men,8334
Men,8400
Men,8400
Women,8400
Men,8427
Women,8500
Women,8500
Women,8500
Women,8500
Women,8500
Men,8500
Women,8500
Men,8500
Women,8500
Women,8500
Women,8500
Women,8600
Men,8600
Men,8600
Women,8600
Men,8750
Women,8782
Men,8787
Women,8800
Men,8900
Men,8985
Men,9000
Men,9000
Women,9000
Women,9000
Women,9000
Women,9000
Women,9000
Women,9000
Men,9000
Women,9000
Women,9000
Women,9000
Women,9000
Women,9009
Men,9166
Men,9166
Men,9167
Men,9200
Women,9200
Women,9400
Women,9480
Women,9500
Men,9500
Women,9500
Women,9500
Women,9500
Women,9500
Women,9500
Women,9500
Men,9500
Men,9500
Women,9500
Women,9600
Women,9600
Women,9600
Men,9750
Men,9750
Women,9800
Women,9800
Women,9800
Men,9840
Women,9850
Women,9950
Women,9964
Women,9992
Women,9995
Men,9999
Men,10000
Women,10000
Women,10000
Men,10000
Men,10000
Women,10000
Women,10000
Women,10000
Men,10000
Men,10000
Women,10000
Women,10000
Women,10000
Women,10000
Men,10000
Women,10000
Men,10000
Women,10000
Men,10000
Women,10000
Men,10000
Women,10000
Women,10000
Women,10000
Men,10000
Men,10000
Women,10000
Men,10000
Women,10000
Men,10000
Women,10000
Women,10000
Men,10000
Women,10000
Men,10000
Women,10000
Men,10000
Women,10000
Men,10000
Women,10000
Men,10000
Men,10000
Women,10000
Men,10000
Men,10000
Men,10000
Men,10000
Men,10000
Men,10000
Women,10000
Men,10000
Women,10000
Women,10000
Women,10000
Women,10000
Women,10000
Women,10005
Women,10036
Women,10080
Men,10100
Men,10200
Women,10200
Women,10400
Women,10500
Women,10500
Women,10500
Women,10500
Men,10500
Women,10500
Women,10500
Women,10500
Women,10500
Women,10500
Women,10500
Women,10500
Women,10500
Men,10500
Women,10500
Women,10500
Women,10500
Women,10500
Men,10500
Men,10600
Men,10600
Men,10600
Women,10686
Women,10750
Men,10763
Women,10800
Women,10800
Women,10800
Women,10800
Women,10800
Men,10900
Women,10966
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Men,11000
Women,11000
Men,11000
Women,11000
Women,11000
Men,11000
Men,11000
Women,11000
Women,11000
Men,11000
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Men,11000
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Men,11000
Women,11000
Women,11000
Women,11000
Men,11000
Women,11000
Men,11000
Men,11000
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Women,11000
Men,11138
Men,11161
Women,11200
Women,11242
Men,11400
Men,11500
Men,11500
Women,11500
Women,11500
Women,11500
Men,11500
Women,11500
Men,11500
Women,11500
Women,11500
Women,11500
Women,11600
Men,11666
Men,11667
Men,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Men,12000
Men,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Men,12000
Women,12000
Men,12000
Women,12000
Women,12000
Men,12000
Men,12000
Women,12000
Men,12000
Women,12000
Women,12000
Women,12000
Men,12000
Women,12000
Women,12000
Men,12000
Men,12000
Men,12000
Women,12000
Men,12000
Women,12000
Men,12000
Men,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Men,12000
Men,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Men,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Women,12000
Men,12000
Men,12000
Women,12000
Women,12000
Women,12000
Men,12000
Women,12000
Women,12000
Men,12000
Women,12000
Women,12000
Women,12000
Women,12000
Men,12000
Women,12000
Women,12000
Women,12000
Men,12000
Women,12000
Women,12000
Women,12000
Men,12100
Women,12200
Women,12210
Women,12260
Women,12300
Women,12400
Women,12500
Men,12500
Men,12500
Women,12500
Women,12500
Women,12500
Men,12500
Men,12500
Women,12500
Men,12500
Women,12500
Women,12500
Women,12500
Men,12500
Men,12500
Men,12500
Men,12500
Women,12850
Men,12870
Women,13000
Women,13000
Women,13000
Women,13000
Men,13000
Women,13000
Men,13000
Women,13000
Women,13000
Men,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Men,13000
Women,13000
Men,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Men,13000
Women,13000
Women,13000
Women,13000
Women,13000
Men,13000
Women,13000
Women,13000
Men,13000
Women,13000
Women,13000
Women,13000
Women,13000
Women,13000
Men,13200
Women,13291
Men,13333
Women,13333
Women,13400
Women,13450
Men,13500
Men,13500
Men,13500
Women,13500
Men,13500
Women,13500
Women,13500
Women,13600
Men,13600
Women,13650
Men,13691
Women,13700
Women,13728
Women,13781
Men,13800
Women,13810
Women,13891
Women,13995
Women,14000
Women,14000
Men,14000
Women,14000
Men,14000
Men,14000
Women,14000
Women,14000
Women,14000
Women,14000
Men,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Men,14000
Women,14000
Men,14000
Men,14000
Men,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Women,14000
Men,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Women,14000
Women,14000
Men,14000
Men,14000
Men,14000
Women,14000
Men,14000
Women,14010
Women,14090
Women,14292
Women,14300
Women,14320
Women,14400
Women,14400
Women,14500
Women,14500
Women,14500
Women,14500
Women,14500
Women,14500
Women,14500
Women,14500
Women,14500
Men,14500
Women,14500
Women,14500
Men,14500
Women,14508
Men,14583
Men,14700
Women,14719
Women,14900
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Women,15000
Men,15000
Women,15000
Women,15000
Men,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15000
Men,15000
Men,15000
Men,15000
Women,15000
Men,15000
Men,15000
Women,15000
Men,15000
Men,15000
Men,15000
Women,15000
Men,15000
Men,15000
Men,15000
Women,15000
Men,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Men,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15000
Women,15000
Men,15000
Men,15000
Women,15000
Women,15000
Men,15000
Men,15000
Men,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Women,15000
Men,15000
Women,15000
Men,15200
Women,15200
Men,15200
Women,15250
Women,15250
Women,15292
Women,15300
Women,15300
Women,15321
Women,15400
Women,15500
Men,15500
Women,15500
Men,15500
Women,15500
Women,15500
Women,15500
Women,15500
Women,15500
Women,15500
Women,15500
Men,15500
Men,15500
Men,15600
Men,15600
Women,15600
Women,15724
Men,15750
Men,15761
Men,15800
Men,15800
Women,15800
Men,15900
Women,16000
Women,16000
Men,16000
Women,16000
Women,16000
Women,16000
Men,16000
Men,16000
Women,16000
Women,16000
Women,16000
Men,16000
Women,16000
Women,16000
Women,16000
Women,16000
Women,16000
Women,16000
Men,16000
Women,16000
Men,16000
Men,16000
Women,16000
Women,16000
Women,16000
Women,16000
Men,16000
Men,16000
Women,16000
Men,16000
Men,16000
Women,16000
Women,16000
Men,16000
Women,16000
Men,16000
Men,16000
Women,16000
Women,16000
Women,16000
Women,16000
Men,16000
Women,16000
Women,16000
Men,16000
Women,16000
Men,16000
Women,16000
Women,16000
Women,16000
Women,16000
Women,16000
Men,16000
Men,16000
Women,16000
Women,16000
Women,16000
Women,16000
Men,16000
Men,16000
Men,16000
Women,16000
Women,16000
Women,16000
Men,16000
Women,16000
Men,16000
Men,16000
Men,16000
Women,16000
Men,16000
Men,16000
Men,16000
Women,16000
Men,16000
Women,16000
Men,16000
Men,16000
Men,16000
Women,16000
Men,16000
Women,16000
Men,16000
Women,16000
Women,16000
Women,16000
Men,16088
Women,16270
Women,16300
Women,16314
Women,16500
Men,16500
Men,16500
Women,16500
Men,16500
Women,16500
Women,16500
Women,16500
Men,16500
Men,16500
Men,16500
Women,16500
Men,16500
Women,16500
Men,16500
Women,16500
Women,16500
Men,16500
Men,16500
Women,16500
Men,16500
Women,16500
Women,16500
Men,16500
Women,16500
Men,16500
Women,16500
Women,16600
Men,16650
Men,16665
Men,16700
Women,16700
Women,16700
Men,16800
Women,16800
Men,16800
Men,16800
Men,16800
Women,16800
Men,17000
Men,17000
Women,17000
Women,17000
Women,17000
Men,17000
Men,17000
Women,17000
Women,17000
Women,17000
Men,17000
Women,17000
Women,17000
Men,17000
Women,17000
Men,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17000
Men,17000
Women,17000
Women,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17000
Women,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17000
Women,17000
Men,17000
Women,17000
Men,17000
Women,17000
Men,17000
Women,17000
Men,17000
Women,17000
Women,17000
Women,17000
Women,17000
Men,17001
Men,17035
Men,17100
Women,17100
Women,17100
Women,17300
Women,17300
Men,17400
Women,17500
Men,17500
Men,17500
Men,17500
Men,17500
Men,17500
Women,17500
Women,17500
Women,17500
Men,17500
Women,17500
Women,17500
Men,17500
Women,17500
Men,17500
Men,17500
Men,17500
Women,17500
Women,17500
Women,17500
Men,17500
Women,17500
Women,17500
Women,17500
Women,17500
Women,17500
Women,17500
Women,17500
Men,17500
Women,17555
Men,17600
Men,17600
Women,17700
Women,17700
Women,17700
Men,17800
Women,17800
Women,17800
Women,17900
Women,17900
Women,17937
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Men,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Men,18000
Men,18000
Women,18000
Women,18000
Women,18000
Women,18000
Women,18000
Men,18000
Men,18000
Men,18000
Women,18000
Women,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Men,18000
Men,18000
Men,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Men,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Men,18000
Men,18000
Men,18000
Men,18000
Men,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Men,18000
Men,18000
Women,18000
Men,18000
Men,18000
Women,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Women,18000
Men,18000
Men,18000
Women,18000
Men,18000
Men,18000
Men,18000
Men,18000
Women,18000
Women,18000
Women,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Men,18000
Men,18000
Women,18000
Men,18000
Women,18000
Women,18000
Men,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Men,18000
Women,18000
Women,18000
Women,18000
Men,18000
Men,18000
Women,18000
Men,18009
Men,18100
Men,18200
Women,18200
Women,18200
Women,18250
Women,18250
Men,18300
Men,18300
Men,18300
Men,18400
Women,18400
Men,18400
Men,18500
Women,18500
Women,18500
Women,18500
Women,18500
Women,18500
Men,18500
Women,18500
Men,18500
Women,18500
Women,18500
Women,18500
Women,18500
Women,18500
Women,18500
Men,18500
Women,18500
Women,18500
Men,18500
Women,18500
Women,18500
Men,18500
Women,18500
Women,18500
Men,18500
Women,18593
Men,18600
Men,18600
Men,18606
Women,18700
Men,18700
Women,18720
Men,18800
Women,18952
Women,19000
Women,19000
Men,19000
Men,19000
Men,19000
Men,19000
Women,19000
Women,19000
Men,19000
Men,19000
Men,19000
Women,19000
Men,19000
Women,19000
Men,19000
Men,19000
Women,19000
Women,19000
Women,19000
Women,19000
Women,19000
Men,19000
Women,19000
Women,19000
Men,19000
Women,19000
Women,19000
Women,19000
Men,19000
Women,19000
Women,19000
Women,19000
Men,19000
Women,19000
Women,19000
Women,19000
Men,19000
Men,19000
Women,19000
Men,19000
Men,19000
Men,19000
Men,19000
Women,19000
Women,19000
Women,19000
Women,19000
Women,19000
Men,19000
Women,19000
Men,19000
Women,19000
Men,19000
Men,19000
Men,19000
Women,19000
Men,19000
Women,19000
Men,19000
Women,19000
Women,19000
Men,19000
Women,19000
Women,19000
Men,19000
Men,19000
Men,19003
Women,19200
Women,19200
Women,19200
Men,19200
Men,19200
Women,19253
Women,19300
Women,19300
Women,19300
Men,19500
Women,19500
Men,19500
Women,19500
Men,19500
Women,19500
Women,19500
Men,19500
Women,19500
Women,19500
Men,19500
Women,19500
Women,19500
Women,19500
Women,19500
Women,19500
Women,19500
Men,19500
Women,19500
Women,19626
Women,19655
Men,19655
Women,19655
Women,19699
Women,19700
Women,19750
Women,19750
Women,19750
Women,19752
Women,19825
Men,19848
Men,19850
Men,19965
Men,19999
Men,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Men,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Men,20000
Men,20000
Men,20000
Women,20000
Men,20000
Men,20000
Women,20000
Women,20000
Women,20000
Men,20000
Women,20000
Men,20000
Women,20000
Men,20000
Women,20000
Men,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Men,20000
Women,20000
Men,20000
Women,20000
Men,20000
Men,20000
Men,20000
Women,20000
Men,20000
Men,20000
Men,20000
Men,20000
Men,20000
Men,20000
Men,20000
Men,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Men,20000
Women,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Men,20000
Men,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20000
Women,20000
Men,20000
Men,20000
Women,20000
Men,20000
Men,20000
Women,20000
Men,20000
Women,20000
Women,20000
Women,20300
Women,20300
Women,20332
Women,20400
Women,20400
Women,20456
Women,20500
Women,20500
Women,20500
Men,20500
Men,20500
Women,20600
Men,20600
Men,20700
Men,20700
Men,20750
Men,20800
Men,20833
Men,20833
Men,20833
Men,20883
Women,21000
Men,21000
Men,21000
Women,21000
Women,21000
Men,21000
Women,21000
Women,21000
Men,21000
Men,21000
Women,21000
Women,21000
Men,21000
Women,21000
Women,21000
Women,21000
Women,21000
Men,21000
Men,21000
Women,21000
Women,21000
Men,21000
Women,21000
Men,21000
Women,21000
Men,21000
Women,21000
Women,21000
Men,21000
Women,21000
Men,21000
Women,21000
Women,21000
Women,21000
Men,21000
Women,21000
Men,21000
Women,21000
